,Peptide,Score,Prediction results
0,LRP8_HUMAN,0.9965297,Yes
1,T132A_HUMAN,0.99436224,Yes
2,IRGM_HUMAN,0.9482926,Yes
3,ZPBP1_HUMAN,0.9482926,Yes
4,FCAR_HUMAN,0.9965297,Yes
5,SYDC_HUMAN,0.0037724485,No
6,ZN318_HUMAN,0.0037724485,No
7,SAM50_HUMAN,0.011345149,No
8,RGPD1_HUMAN,0.0037724485,No
9,XYLB_HUMAN,0.009139505,No
